Source,Target,Type,Id,Weight
63,80,Undirected,692,0.739148
63,81,Undirected,693,0.726859
63,82,Undirected,694,0.319759
63,83,Undirected,695,0.627233
63,84,Undirected,696,0.64489
63,85,Undirected,697,0.634896
63,89,Undirected,698,0.559944
64,16,Undirected,699,0.444522
64,18,Undirected,700,8.60062
64,36,Undirected,701,3.45422
64,51,Undirected,702,6.49662
64,63,Undirected,703,2.98606
64,75,Undirected,704,1.06813
64,77,Undirected,705,0.906486
64,79,Undirected,706,0.931776
64,80,Undirected,707,0.779297
64,81,Undirected,708,0.766703
64,83,Undirected,709,0.664262
64,84,Undirected,710,0.682463
64,85,Undirected,711,0.672164
64,88,Undirected,712,0.533743
64,89,Undirected,713,0.594713
65,11,Undirected,714,3.31837
65,21,Undirected,715,2.63826
65,35,Undirected,716,1.7801
65,40,Undirected,717,1.70661
65,57,Undirected,718,337.968
65,58,Undirected,719,0.873525
65,59,Undirected,720,1.16423
65,60,Undirected,721,0.96747
65,66,Undirected,722,0.921235
65,67,Undirected,723,0.781143
65,72,Undirected,724,0.644714
65,74,Undirected,725,0.541862
65,76,Undirected,726,0.493018
65,78,Undirected,727,0.493028
65,89,Undirected,728,0.297578
66,4,Undirected,729,3.90861
66,7,Undirected,730,4.09767
66,11,Undirected,731,3.79544
66,35,Undirected,732,1.9471
66,49,Undirected,733,1.44039
66,58,Undirected,734,0.921821
66,59,Undirected,735,1.24455
66,60,Undirected,736,1.02542
66,65,Undirected,737,0.896122
66,67,Undirected,738,0.820629
66,72,Undirected,739,0.672467
66,74,Undirected,740,0.561861
66,76,Undirected,741,0.509688
66,78,Undirected,742,0.509693
66,93,Undirected,743,0.448123
67,7,Undirected,744,3.27568
67,21,Undirected,745,2.48279
67,29,Undirected,746,2.07356
67,35,Undirected,747,1.71832
67,40,Undirected,748,1.65144
67,49,Undirected,749,1.31212
67,59,Undirected,750,1.14957
67,65,Undirected,751,0.851289
67,66,Undirected,752,0.919383
67,72,Undirected,753,0.652568
67,74,Undirected,754,0.551789
67,76,Undirected,755,0.503599
67,78,Undirected,756,0.503608
67,82,Undirected,757,1.13587
67,94,Undirected,758,0.210714
68,53,Undirected,759,0.688626
68,58,Undirected,760,11.488
68,82,Undirected,761,19.2752
68,87,Undirected,762,3.36574
68,90,Undirected,763,1.17579
68,91,Undirected,764,0.958185
68,92,Undirected,765,0.768243
68,93,Undirected,766,0.765646
68,94,Undirected,767,0.812179
68,95,Undirected,768,0.814968
68,96,Undirected,769,0.676008
68,97,Undirected,770,0.636084
68,98,Undirected,771,0.651
68,99,Undirected,772,0.632876
